architecture,scenario,block_size,iodepth,numjobs,rw_pattern,runtime_s,bw_mib_s_mean,bw_mib_s_std,p99_lat_us_mean,p99_lat_us_std
IBM Power10,baseline,1M,1,1,write,5,2857.518879254659,681.2415013597803,387.26314666666667,80.22689254235034
IBM Power10,baseline,4M,1,1,write,5,4379.741271225611,1351.1205885050827,1324.60544,5692.097218613034
IBM Power10,baseline,4k,1,1,write,5,24.80136750539144,0.9430774401191867,171.8784,26.497659586433826
IBM Power10,baseline,64k,1,1,write,5,386.1483553441366,31.423335651626612,176.98133333333334,27.029878356034622
Raspberry Pi 5,baseline,1M,1,1,write,5,26.04641819000244,4.132434620356648,149762.8672,69472.7562359804
Raspberry Pi 5,baseline,4M,1,1,write,5,27.679972257614136,2.5809176428684886,124713.69728000001,114217.27798811732
Raspberry Pi 5,baseline,4k,1,1,write,5,3.6229957580566405,0.345054849255245,3819.1104000000005,815.9814202424272
Raspberry Pi 5,baseline,64k,1,1,write,5,24.656146545410156,4.4309869349126725,22718.70976,2376.9602663615215
Raspberry Pi 5,io_concurrency,1M,1,1,write,5,27.06005777359009,4.09634719856262,134380.25728,4600.726213006886
Raspberry Pi 5,io_concurrency,4M,1,1,write,5,28.00218469619751,1.6699445697937276,114513.67424000001,103941.53106713045
Raspberry Pi 5,io_concurrency,4k,1,1,write,5,3.6146691417694092,0.3446060302425191,3782.08256,832.9944370246094
Raspberry Pi 5,io_concurrency,64k,1,1,write,5,23.83907095909119,6.0776668348439316,22953.32864,2913.0587621538016
Raspberry Pi 5,sustained,1M,1,1,write,5,26.640335302352906,3.869847338418182,137253.35552,27870.75237125582
Raspberry Pi 5,sustained,4M,1,1,write,5,27.865693321228026,2.098616506162927,117550.61248,128463.02720355059
Raspberry Pi 5,sustained,4k,1,1,write,5,3.5778786182403564,0.35276197124465436,3887.9232,835.9570915926731
Raspberry Pi 5,sustained,64k,1,1,write,5,24.07646760940552,5.37944001130725,22848.471040000004,2475.437758361795
Consumer Laptop,baseline,1M,1,1,write,5,1865.9626428922018,282.4283942517044,1643.80672,3196.93342808021
Consumer Laptop,baseline,4M,1,1,write,5,2533.280891491572,419.82462700389885,6808.971946666667,6681.284181889201
Consumer Laptop,baseline,4k,1,1,write,5,22.53233867963155,2.4689648429229307,295.43424,63.94935449711534
Consumer Laptop,baseline,64k,1,1,write,5,313.477551240921,67.517981030905,1417.7143466666666,3435.880933242325
