scenario,seconds
baseline,5.404
baseline,3.253
baseline,3.907
baseline,3.094
baseline,3.556
baseline,4.072
baseline,5.911
baseline,4.907
baseline,3.471
baseline,4.474
baseline,3.009
baseline,5.978
baseline,5.591
baseline,3.649
baseline,4.644
baseline,4.677
baseline,3.346
baseline,2.982
baseline,5.131
baseline,5.903
baseline,4.715
baseline,4.528
baseline,3.379
baseline,1.841
baseline,4.660
baseline,5.219
baseline,5.618
baseline,5.001
baseline,5.220
baseline,3.092
baseline,5.632
baseline,4.148
baseline,5.852
baseline,4.734
baseline,5.310
baseline,2.868
baseline,5.996
baseline,4.824
baseline,3.122
baseline,4.422
baseline,4.577
baseline,3.150
baseline,3.470
baseline,4.519
baseline,4.080
baseline,3.594
baseline,4.870
baseline,4.321
baseline,5.683
baseline,1.779
baseline,6.005
baseline,5.778
baseline,5.205
baseline,3.354
baseline,3.534
baseline,3.812
baseline,3.374
baseline,4.963
baseline,5.773
baseline,3.752
baseline,3.080
baseline,5.982
baseline,3.464
baseline,4.048
baseline,5.977
baseline,5.476
baseline,4.474
baseline,5.405
baseline,3.813
baseline,3.189
baseline,4.108
baseline,3.597
baseline,3.765
baseline,5.956
baseline,5.338
baseline,2.514
baseline,5.834
baseline,5.306
baseline,3.547
baseline,3.113
baseline,3.886
baseline,4.228
baseline,4.093
baseline,3.659
baseline,5.655
baseline,3.905
baseline,3.842
baseline,3.883
baseline,4.531
baseline,3.421
baseline,4.784
baseline,3.390
baseline,3.692
baseline,3.484
baseline,3.781
baseline,4.622
baseline,4.719
baseline,4.614
baseline,4.548
baseline,5.800
sustained,5.879
sustained,5.082
sustained,4.446
sustained,5.358
sustained,5.566
sustained,3.420
sustained,4.627
sustained,4.596
sustained,4.560
sustained,5.349
sustained,3.747
sustained,3.316
sustained,2.263
sustained,5.959
sustained,5.456
sustained,6.031
sustained,4.097
sustained,3.403
sustained,3.849
sustained,5.533
sustained,4.698
sustained,3.164
sustained,3.995
sustained,3.672
sustained,3.173
sustained,3.417
sustained,5.644
sustained,5.558
sustained,4.199
sustained,4.590
sustained,5.942
sustained,3.762
sustained,4.116
sustained,3.946
sustained,3.594
sustained,4.808
sustained,4.893
sustained,4.092
sustained,3.292
sustained,3.465
sustained,5.844
sustained,3.534
sustained,4.563
sustained,5.930
sustained,2.533
sustained,4.349
sustained,4.456
sustained,5.887
sustained,4.412
sustained,4.070
sustained,3.982
sustained,4.562
sustained,3.400
sustained,4.364
sustained,3.246
sustained,4.676
sustained,5.292
sustained,3.306
sustained,4.032
sustained,5.714
sustained,4.633
sustained,5.700
sustained,5.047
sustained,3.615
sustained,4.120
sustained,3.505
sustained,3.494
sustained,3.985
sustained,3.266
sustained,4.479
sustained,3.897
sustained,1.843
sustained,5.155
sustained,3.607
sustained,3.301
sustained,4.311
sustained,4.478
sustained,3.251
sustained,3.687
sustained,3.091
sustained,4.920
sustained,4.173
sustained,5.863
sustained,4.186
sustained,3.250
sustained,1.469
sustained,5.734
sustained,3.390
sustained,5.915
sustained,5.433
sustained,3.598
sustained,5.001
sustained,1.390
sustained,3.406
sustained,4.403
sustained,4.703
sustained,3.404
sustained,4.761
sustained,5.011
sustained,3.979
io_concurrency,3.121
io_concurrency,3.903
io_concurrency,4.398
io_concurrency,3.475
io_concurrency,3.539
io_concurrency,3.120
io_concurrency,3.377
io_concurrency,5.221
io_concurrency,3.262
io_concurrency,4.097
io_concurrency,5.562
io_concurrency,5.942
io_concurrency,3.114
io_concurrency,3.403
io_concurrency,4.738
io_concurrency,3.430
io_concurrency,5.929
io_concurrency,3.309
io_concurrency,3.879
io_concurrency,3.878
io_concurrency,4.638
io_concurrency,4.212
io_concurrency,5.994
io_concurrency,4.836
io_concurrency,4.294
io_concurrency,3.436
io_concurrency,5.806
io_concurrency,5.659
io_concurrency,5.485
io_concurrency,5.567
io_concurrency,6.109
io_concurrency,3.480
io_concurrency,6.014
io_concurrency,3.123
io_concurrency,3.181
io_concurrency,4.635
io_concurrency,4.472
io_concurrency,3.186
io_concurrency,3.187
io_concurrency,4.661
io_concurrency,5.993
io_concurrency,4.794
io_concurrency,3.569
io_concurrency,5.477
io_concurrency,5.687
io_concurrency,3.518
io_concurrency,4.064
io_concurrency,4.718
io_concurrency,4.644
io_concurrency,5.171
io_concurrency,4.074
io_concurrency,4.748
io_concurrency,4.712
io_concurrency,4.748
io_concurrency,3.192
io_concurrency,5.476
io_concurrency,3.506
io_concurrency,5.220
io_concurrency,4.520
io_concurrency,5.817
io_concurrency,4.978
io_concurrency,6.120
io_concurrency,4.412
io_concurrency,5.701
io_concurrency,5.616
io_concurrency,5.844
io_concurrency,3.462
io_concurrency,4.899
io_concurrency,5.740
io_concurrency,4.504
io_concurrency,3.328
io_concurrency,4.365
io_concurrency,5.787
io_concurrency,5.419
io_concurrency,4.210
io_concurrency,3.173
io_concurrency,5.157
io_concurrency,5.094
io_concurrency,5.487
io_concurrency,5.878
io_concurrency,5.967
io_concurrency,4.654
io_concurrency,4.203
io_concurrency,4.178
io_concurrency,5.577
io_concurrency,4.399
io_concurrency,3.196
io_concurrency,4.676
io_concurrency,5.464
io_concurrency,5.276
io_concurrency,5.273
io_concurrency,5.921
io_concurrency,4.110
io_concurrency,5.085
io_concurrency,3.261
io_concurrency,4.682
io_concurrency,5.157
io_concurrency,3.546
io_concurrency,4.633
io_concurrency,4.779
